area,intensity_mean-C:0,intensity_mean-C:1,intensity_mean-C:2,intensity_mean-C:3,intensity_mean-C:4
2517.0,451.65832340087405,1103.4366309098132,929.9558998808105,1317.7588398887565,737.030989272944
1798.0,342.1034482758621,877.4399332591769,797.4082313681869,1314.4877641824248,590.5928809788654
1628.0,339.5724815724816,609.4907862407863,649.2364864864865,1088.156633906634,524.9520884520884
1955.0,357.54015345268544,651.8281329923274,714.2859335038363,1070.8864450127878,531.9432225063939
1410.0,370.5808510638298,617.1255319148936,662.8737588652482,978.3758865248227,508.63617021276593
2272.0,431.1518485915493,602.0928697183099,626.7526408450705,753.131161971831,474.49339788732397
1148.0,458.81533101045295,805.6855400696865,835.1193379790941,1072.4172473867595,540.6175958188153
1480.0,343.227027027027,673.7182432432433,761.352027027027,1335.7513513513513,632.7317567567568
3251.0,346.5585973546601,771.3980313749615,665.6604121808674,1138.9960012303907,524.7348508151338
1524.0,524.255249343832,668.7611548556431,777.8372703412074,983.4639107611548,501.3969816272966
1844.0,361.5677874186551,656.4652928416485,739.5075921908893,1093.2369848156181,516.2190889370933
1919.0,492.2115685252736,645.9077644606566,702.0359562272017,873.5575820739969,491.67691505992707
1426.0,361.43969144460027,512.3015427769986,603.6767180925666,941.8562412342216,498.3835904628331
1417.0,361.78263937896963,548.0501058574453,632.9139026111503,932.0995059985886,522.4897671136204
1691.0,333.8379657007688,630.0496747486694,692.0449438202247,1065.692489651094,526.6380839739799
2699.0,369.15227862171173,588.4701741385699,612.736939607262,901.5439051500556,476.9788810670619
2048.0,896.02197265625,1487.1171875,1960.07861328125,2362.05810546875,1002.1279296875
1402.0,382.1904422253923,626.0178316690442,665.725392296719,1075.8159771754636,530.7396576319544
1574.0,488.0959339263024,729.4580686149936,852.6493011435832,1183.6880559085134,588.2439644218551
2511.0,372.31581043409,645.831541218638,754.4149741138989,1080.5667064914376,549.1485463958583
2263.0,436.258064516129,607.7715422006187,675.9204595669465,974.4582412726469,514.0481661511268
1361.0,465.00073475385744,692.2586333578251,812.6605437178545,949.8809698750919,514.6377663482733
1785.0,505.21512605042017,672.2173669467787,772.0717086834734,964.5221288515406,511.4263305322129
2118.0,303.97355996222853,565.3135033050047,656.4745042492918,911.1010387157696,499.5996222851747
2922.0,377.2426420260096,571.2662559890485,639.299794661191,878.0711841204654,487.2180013689254
1526.0,612.0720838794233,1057.5478374836173,1397.1258191349934,2213.461992136304,899.416120576671
2123.0,464.80829015544043,650.4729156853509,752.0348563353745,1050.7178520960904,550.9152143193594
1995.0,495.0651629072682,730.6511278195488,904.6456140350878,1058.390977443609,608.8761904761905
2287.0,295.967205946655,585.7634455618714,644.1718408395278,944.8565806733712,534.2063839090512
3216.0,368.4539800995025,646.5289179104477,738.0712064676617,786.8013059701492,555.6685323383084
1683.0,378.32085561497325,614.774806892454,690.8978015448604,889.6571598336304,527.3885918003565
2376.0,400.04545454545456,666.7643097643098,722.4385521885522,1022.5016835016835,487.7542087542088
1854.0,333.36947141316074,554.1062567421791,592.1709816612729,1037.8915857605177,556.5631067961165
1644.0,501.6818734793187,884.5018248175182,997.6970802919708,1346.5906326034062,660.4203163017031
2227.0,460.38078132016165,659.5428828019758,726.7000449034575,963.7907498877414,519.9250112258644
3942.0,333.6024860476915,711.2912227295789,768.6889903602232,1068.3135464231354,586.2222222222222
1885.0,341.9395225464191,780.5188328912467,860.62175066313,1181.7379310344827,566.4286472148541
1251.0,385.67865707434055,728.2086330935252,736.2046362909672,1012.2589928057554,561.1023181454837
2415.0,443.41780538302277,662.807867494824,709.375569358178,994.2459627329192,532.8463768115942
2377.0,561.8334034497266,1001.4880100967606,902.8216238956668,1453.1241060159866,721.1459823306689
1317.0,644.9992406985573,701.0652999240699,901.1966590736522,1057.7243735763097,535.1419893697798
1293.0,397.58391337973706,708.0982211910286,822.706883217324,1177.4423820572313,558.1461716937355
1425.0,629.3108771929825,927.4280701754386,1193.7922807017544,1588.1256140350877,774.44
1669.0,365.4769322947873,655.5913720790893,824.9095266626723,1264.7147992810067,576.920910724985
1429.0,402.888033589923,801.4289713086074,792.1672498250525,1160.002099370189,603.3519944016795
1987.0,440.3643683945647,675.2642174131857,704.9129340714645,1054.6094614997485,527.9411172622043
1506.0,394.2098273572377,679.6706507304117,824.2430278884462,1264.9701195219122,585.7941567065074
2069.0,309.5031416143064,851.3982600289995,788.362493958434,1202.929434509425,597.4915418076365
2703.0,421.9367369589345,741.0754716981132,893.9637439881614,923.7798742138365,623.9737328893822
2051.0,490.6182350073135,697.4822038030229,748.3539736713798,962.534373476353,507.6518771331058
2248.0,472.68193950177937,704.3371886120997,795.7046263345196,950.4177046263345,529.9421708185054
1783.0,356.7818283791363,741.4189568143578,814.7111609646663,1116.8216489063377,570.2176107683679
1488.0,535.4610215053764,1019.3353494623656,1403.8924731182797,1970.4139784946237,865.5443548387096
1805.0,473.5994459833795,684.3052631578947,725.3229916897507,1089.6459833795013,519.5407202216066
2212.0,570.5307414104882,1080.3223327305607,1434.1464737793851,1827.9032549728752,860.3318264014466
1127.0,510.1597160603372,686.7231588287489,799.7781721384206,1085.153504880213,573.6069210292812
2044.0,414.8835616438356,792.704011741683,818.215264187867,1359.6198630136987,672.562133072407
923.0,512.8125677139761,610.9057421451788,858.8591549295775,1225.9425785482124,541.9761646803901
2159.0,495.18990273274665,727.6280685502547,843.7461787864752,1142.4900416859657,560.7637795275591
2544.0,423.6627358490566,638.55856918239,760.562106918239,889.0735062893082,546.4886006289308
2306.0,297.4336513443192,693.9154379878578,690.8772766695577,1252.652211621856,590.2480485689506
1486.0,402.21534320323013,683.0336473755048,838.2180349932705,1182.7274562584118,566.1951547779273
1908.0,496.1320754716981,731.4240041928721,753.9816561844864,1081.2106918238994,567.7148846960167
3022.0,604.8785572468564,765.8355393778954,923.0244870946393,844.9980145598942,626.0900066181337
1417.0,422.1827805222301,759.1249117854622,852.3288637967537,1186.2971065631616,608.8899082568807
2208.0,466.3854166666667,668.3215579710145,819.5366847826087,944.2844202898551,558.5058876811594
2434.0,462.6076417419885,692.0805258833196,842.1446179129006,1127.1364009860313,544.1951520131471
2024.0,332.72529644268775,685.5316205533596,725.1388339920949,1063.165513833992,578.6704545454545
2715.0,355.0850828729282,635.0847145488029,779.9690607734807,1038.2187845303868,571.6478821362799
2047.0,504.07669760625305,726.6257938446507,955.781143136297,1288.0083048363458,621.867611138251
2260.0,308.38318584070794,713.8296460176991,687.3314159292036,1058.4110619469027,553.5641592920354
1687.0,559.2934202726734,744.9288678126852,788.20450503853,1022.3604030823948,570.9739181979846
2752.0,350.03670058139534,562.9909156976744,579.6573401162791,900.6275436046511,493.359375
3233.0,384.23816888339,769.265697494587,916.4568512217754,1288.282400247448,652.3012681719765
1941.0,331.34312210200926,725.4121586810923,670.7753735188047,1045.0571870170015,509.65533230293664
1789.0,563.7534935718278,780.0318613750699,976.0273896031302,1282.7926215762996,651.5326998323086
2757.0,405.39100471527024,734.7247007616975,711.6002901704752,1110.633297062024,511.11860718171926
2884.0,278.8231622746186,738.5485436893204,705.9455617198336,1185.2229542302357,566.117891816921
2039.0,498.0529671407553,778.2658165767533,893.4413928396273,1064.8901422265817,610.2746444335459
2645.0,417.6151228733459,697.502079395085,745.9837429111532,961.9682419659736,570.4226843100189
2085.0,330.35395683453237,681.9971223021582,589.5093525179856,897.1184652278178,518.6470023980816
1156.0,1276.6799307958477,1329.2257785467127,1752.6340830449826,2640.610726643599,1443.3010380622836
3184.0,362.54899497487435,611.8395100502513,657.5370603015075,911.3771984924623,509.51884422110555
1503.0,758.0079840319361,1156.593479707252,1454.0359281437127,1916.08250166334,905.0931470392549
2479.0,415.01331181928197,714.9169019766034,734.7051230334812,1137.7636143606294,507.14320290439696
1927.0,517.1354436948625,747.4276076803321,885.0352880124545,1039.1800726517904,598.3539180072652
852.0,573.1197183098592,1305.1889671361503,1181.6173708920187,1726.011737089202,812.556338028169
2688.0,283.09002976190476,638.6149553571429,583.7239583333334,938.1938244047619,469.3407738095238
747.0,605.4323962516734,700.7657295850067,864.2945113788487,1190.6211512717537,552.5261044176707
3611.0,338.7266685128773,780.0418166712822,771.2431459429521,1188.3467183605649,620.5444475214622
2646.0,271.8586545729403,531.295918367347,523.9043839758125,888.7048374905518,430.604686318972
1445.0,406.21107266435985,770.1404844290657,804.9494809688581,1217.0055363321799,588.756401384083
1068.0,472.71067415730334,762.374531835206,852.2256554307116,1223.8389513108614,571.3820224719101
1241.0,451.3706688154714,860.668815471394,962.7485898468976,1416.3698630136987,627.1796937953263
1817.0,540.7039075399009,777.6769400110071,974.5200880572372,1060.0203632361035,604.7578425976885
2906.0,309.2687543014453,703.0767377838954,698.4569855471439,1218.0918788713007,526.6858224363386
2129.0,318.3128229215594,663.0155002348521,617.2038515735087,957.2555190230155,505.64443400657586
862.0,558.084686774942,875.524361948956,1025.122969837587,1265.9199535962878,596.1948955916473
1888.0,411.4756355932203,649.3019067796611,668.8082627118644,906.3278601694915,503.05349576271186
1609.0,361.8029832193909,652.1895587321318,650.1274083281542,974.9254195152268,495.486016159105
2499.0,291.6970788315326,494.18367346938777,554.328531412565,903.8327330932373,452.1052420968387
1030.0,401.44466019417473,878.468932038835,830.6320388349515,1207.735922330097,558.9757281553398
1977.0,332.77693474962064,696.612038442084,682.8229640870005,1043.144157814871,500.9205867475974
